Indicator.Name,Indicator.Code,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,7.5,7.8,8.1,8.2,8.6,9.1,9.2,9.8,10.1
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,8.7,8.2,9.5,11.0,11.9,13.0,12.9,15.1,14.6
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,24.2,24.3,24.2,4.6,4.8,6.0,6.6,6.6,6.6
Clothing and footwear,PCPIA_PC_CP_A_PT,10.1,9.4,9.8,10.4,10.2,10.0,9.7,9.4,9.5
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,5.0,7.3,6.1,6.2,6.2,6.4,7.0,7.0,7.0
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,7.4,8.4,9.7,10.6,11.3,11.6,11.6,11.8,11.8
Health,PCPIM_PC_CP_A_PT,3.4,3.5,3.6,3.7,4.0,4.0,4.1,4.1,4.0
Transport,PCPIT_PC_CP_A_PT,6.7,6.7,6.9,7.1,8.1,8.3,8.5,8.9,11.8
Communication,PCPIEC_PC_CP_A_PT,2.3,2.1,2.2,1.5,2.4,2.3,2.2,2.3,2.2
Recreation and culture,PCPIR_PC_CP_A_PT,6.0,5.5,6.3,7.5,7.6,7.3,7.7,7.6,7.6
Education,PCPIED_PC_CP_A_PT,9.5,9.6,9.7,9.8,10.0,10.1,8.7,7.1,7.2
Restaurants and hotels,PCPIRE_PC_CP_A_PT,7.2,7.9,7.0,8.1,8.4,9.2,9.6,9.8,9.9
Insurance and Financial Services,,,,,,,,,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,6.5,6.5,6.8,7.8,8.5,9.4,9.4,9.8,10.2
